Lat (DD),Long (DD),Depth
51.325554360,-003.498640725,-18.410
51.325550751,-003.498622276,-18.605
51.325551897,-003.498596149,-18.639
51.325551209,-003.498583945,-18.710
51.325555392,-003.498553005,-18.642
51.325551553,-003.498542119,-18.536
51.325550292,-003.498517425,-18.456
51.325550178,-003.498515534,-18.475
51.325552699,-003.498497658,-18.645
51.325558314,-003.498479266,-18.721
51.325550522,-003.498453311,-18.739
51.325556366,-003.498443227,-18.756
51.325555277,-003.498422658,-18.760
51.325554360,-003.498404552,-18.795
51.325554303,-003.498380774,-18.776
51.325549318,-003.498354246,-18.740
51.325559402,-003.498336657,-18.760
51.325558027,-003.498332875,-18.764
51.325554819,-003.498318035,-18.783
51.325556366,-003.498286695,-18.800
51.325555105,-003.498280163,-18.741
51.325551667,-003.498259479,-18.783
51.325553845,-003.498239254,-18.804
51.325554991,-003.498215934,-18.798
51.325554704,-003.498209804,-18.708
51.325560147,-003.498191068,-18.793
51.325558600,-003.498160300,-18.831
51.325558085,-003.498149127,-18.802
51.325550693,-003.498137095,-18.808
51.325558428,-003.498109765,-18.798
51.325560033,-003.498094926,-18.816
51.325550292,-003.498084039,-18.877
51.325550464,-003.498050120,-18.936
51.325550464,-003.498038547,-18.842
51.325549834,-003.498024509,-18.882
51.325550464,-003.498009383,-18.999
51.325560033,-003.497981136,-19.131
51.325559632,-003.497974605,-19.133
51.325559975,-003.497954608,-19.165
51.325552584,-003.497939769,-19.264
51.325557798,-003.497908199,-19.259
51.325556652,-003.497888890,-19.183
51.325558428,-003.497882702,-19.110
51.325559059,-003.497856633,-19.101
51.325558658,-003.497850330,-19.177
51.325550923,-003.497828386,-19.161
51.325554246,-003.497813489,-19.214
51.325554360,-003.497780085,-19.267
51.325557512,-003.497772465,-19.221
51.325554704,-003.497759172,-19.237
51.325551324,-003.497730811,-19.266
51.325550923,-003.497724623,-19.249
51.325551667,-003.497703481,-19.302
51.325549318,-003.497689329,-19.334
51.325550178,-003.497666239,-19.410
51.325559746,-003.497637533,-19.386
51.325558543,-003.497626303,-19.287
51.325565304,-003.500170007,-17.388
51.325567309,-003.500166970,-17.381
51.325560949,-003.500137807,-17.401
51.325567137,-003.500117237,-17.271
51.325561007,-003.500098215,-17.239
51.325560548,-003.500084579,-17.259
51.325561637,-003.500077417,-17.307
51.325562210,-003.500057134,-17.353
51.325561121,-003.500042524,-17.394
51.325564043,-003.500007115,-17.367
51.325565705,-003.499989754,-17.102
51.325569773,-003.499972336,-16.938
51.325569085,-003.499956064,-16.773
51.325565418,-003.499944147,-16.756
51.325565705,-003.499930969,-16.835
51.325568398,-003.499914869,-16.854
51.325565075,-003.499898024,-16.908
51.325561694,-003.499880606,-16.936
51.325570289,-003.499860953,-17.054
51.325568512,-003.499200161,-17.904
51.325566622,-003.499196265,-17.902
51.325563700,-003.499179248,-17.953
51.325571033,-003.499144928,-17.985
51.325566278,-003.499140574,-17.836
51.325569888,-003.499125562,-17.977
51.325563413,-003.499100810,-18.030
51.325565991,-003.499088778,-18.094
51.325569544,-003.499067464,-18.134
51.325565418,-003.499053255,-18.202
51.325566679,-003.499032800,-18.245
51.325565533,-003.499013148,-18.309
